"region";"vekst";"Jordbruksareal 1969";"Jordbruksareal 1979";"Jordbruksareal 1989";"Jordbruksareal 1999";"Jordbruksareal 2000";"Jordbruksareal 2001";"Jordbruksareal 2002";"Jordbruksareal 2003";"Jordbruksareal 2004";"Jordbruksareal 2005";"Jordbruksareal 2006";"Jordbruksareal 2007";"Jordbruksareal 2008";"Jordbruksareal 2009";"Jordbruksareal 2010";"Jordbruksareal 2011";"Jordbruksareal 2012";"Jordbruksareal 2013";"Jordbruksareal 2014";"Jordbruksareal 2015";"Jordbruksareal 2016";"Jordbruksareal 2017"
"0101 Halden";"Jordbruksareal i drift";57817;59571;61661;61029;60867;61952;61878;61617;62019;61743;61720;62470;61604;62332;63111;62529;61079;61504;61453;61247;61075;60442
"0104 Moss";"Jordbruksareal i drift";6852;6841;6590;6495;5796;5501;5658;5469;5398;5732;5594;5345;5154;5154;5251;5135;5027;4154;3928;3829;3803;3592
"0105 Sarpsborg";"Jordbruksareal i drift";0;0;0;80973;80885;81601;80574;80664;80266;80106;80736;80422;78791;77031;77600;76098;77434;76596;75461;75818;76201;75626
"0106 Fredrikstad";"Jordbruksareal i drift";0;0;0;69608;69414;69634;70171;68912;69242;68180;66222;66771;66556;65689;66331;65794;65813;64787;64148;63832;63447;62909
"0111 Hvaler";"Jordbruksareal i drift";2671;3521;3697;3661;3657;3469;3467;3351;3275;3387;3397;3474;3576;3510;3577;3541;3484;3424;3421;3441;3314;3375
"0118 Aremark";"Jordbruksareal i drift";15768;19983;19692;20469;20042;20021;19633;19434;19337;19318;19183;19584;19523;19423;19502;19604;19627;18873;19091;19397;19364;19012
"0119 Marker";"Jordbruksareal i drift";35525;37435;39349;40902;41098;40704;40571;40476;38912;39808;40592;40350;40285;40182;39307;38196;38095;38308;38592;39326;39441;39190
"0121 Rømskog";"Jordbruksareal i drift";2566;2785;2872;3138;3007;2962;3052;2923;3040;3014;3040;3106;3032;3034;3077;2972;2962;2992;2938;2935;2952;2409
"0122 Trøgstad";"Jordbruksareal i drift";59942;64308;65632;66297;67204;70195;69171;68004;68704;67951;69598;69608;65325;64243;63809;65064;64434;64449;64044;64005;66241;66056
"0123 Spydeberg";"Jordbruksareal i drift";37067;37864;38836;37763;37631;39314;38012;37166;37662;37187;36126;37538;35616;36056;36346;36104;36448;36527;36529;37026;39130;39006
